"vout
References : ['plot_vs(vin, vout)']
Dependency : [time]
Num. Points : [1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [vout]
Num. Points : [1006]
Matrix Size : scalar
Type : Real"
-1.221,4.416
-1.133,4.503
-1.046,4.591
-0.959,4.678
-0.872,4.765
-0.786,4.851
-0.700,4.936
-0.615,5.022
-0.530,5.107
-0.446,5.191
-0.363,5.275
-0.280,5.358
-0.197,5.440
-0.116,5.522
-0.034,5.604
0.046,5.685
0.126,5.765
0.205,5.844
0.284,5.923
0.361,6.002
0.438,6.079
0.515,6.156
0.590,6.232
0.665,6.307
0.739,6.381
0.812,6.455
0.884,6.528
0.955,6.600
1.026,6.671
1.096,6.741
1.164,6.811
1.232,6.879
1.299,6.947
1.365,7.013
1.430,7.079
1.494,7.144
1.557,7.208
1.619,7.270
1.680,7.332
1.740,7.393
1.799,7.453
1.857,7.511
1.913,7.569
1.969,7.626
2.024,7.681
2.077,7.736
2.129,7.789
2.181,7.841
2.231,7.892
2.280,7.942
2.327,7.991
2.374,8.038
2.419,8.085
2.464,8.130
2.507,8.174
2.548,8.217
2.589,8.258
2.628,8.298
2.666,8.338
2.703,8.375
2.738,8.412
2.773,8.447
2.806,8.481
2.837,8.514
2.868,8.546
2.897,8.576
2.925,8.605
2.951,8.632
2.976,8.659
3.000,8.684
3.023,8.707
3.044,8.730
3.064,8.750
3.082,8.770
3.099,8.788
3.115,8.805
3.129,8.821
3.142,8.835
3.154,8.848
3.164,8.859
3.173,8.869
3.181,8.878
3.187,8.886
3.192,8.892
3.196,8.896
3.198,8.899
3.199,8.901
3.198,8.902
3.196,8.901
3.193,8.899
3.188,8.895
3.182,8.890
3.174,8.883
3.165,8.876
3.155,8.866
3.144,8.856
3.131,8.844
3.116,8.831
3.101,8.816
3.084,8.800
3.065,8.783
3.046,8.764
3.025,8.744
3.002,8.723
2.979,8.700
2.954,8.676
2.927,8.650
2.900,8.624
2.871,8.596
2.841,8.566
2.809,8.536
2.776,8.504
2.742,8.470
2.707,8.436
2.670,8.400
2.633,8.363
2.593,8.325
2.553,8.285
2.512,8.244
2.469,8.202
2.425,8.159
2.380,8.115
2.333,8.069
2.286,8.022
2.237,7.974
2.187,7.925
2.137,7.874
2.084,7.823
2.031,7.770
1.977,7.716
1.922,7.661
1.865,7.605
1.808,7.548
1.749,7.490
1.689,7.431
1.629,7.370
1.567,7.309
1.504,7.247
1.441,7.183
1.376,7.119
1.311,7.054
1.244,6.987
1.177,6.920
1.108,6.852
1.039,6.783
0.969,6.713
0.898,6.642
0.826,6.570
0.754,6.497
0.680,6.424
0.606,6.350
0.531,6.274
0.455,6.199
0.379,6.122
0.302,6.045
0.224,5.966
0.145,5.888
0.066,5.808
-0.014,5.728
-0.095,5.647
-0.176,5.565
-0.258,5.483
-0.340,5.400
-0.423,5.317
-0.506,5.233
-0.590,5.148
-0.675,5.063
-0.760,4.978
-0.845,4.892
-0.931,4.805
-1.017,4.718
-1.104,4.631
-1.191,4.543
-1.279,4.455
-1.366,4.366
-1.455,4.277
-1.543,4.188
-1.632,4.098
-1.721,4.008
-1.810,3.918
-1.899,3.828
-1.989,3.737
-2.079,3.646
-2.169,3.555
-2.259,3.464
-2.349,3.372
-2.440,3.281
-2.530,3.189
-2.621,3.097
-2.711,3.005
-2.802,2.914
-2.892,2.822
-2.983,2.730
-3.073,2.638
-3.164,2.546
-3.254,2.454
-3.344,2.362
-3.434,2.271
-3.524,2.179
-3.614,2.088
-3.704,1.997
-3.793,1.906
-3.882,1.815
-3.971,1.724
-4.060,1.634
-4.148,1.544
-4.236,1.454
-4.324,1.364
-4.411,1.275
-4.498,1.186
-4.585,1.098
-4.671,1.010
-4.757,0.922
-4.842,0.835
-4.927,0.748
-5.011,0.661
-5.095,0.575
-5.178,0.490
-5.261,0.405
-5.343,0.321
-5.425,0.237
-5.506,0.154
-5.586,0.071
-5.666,-0.011
-5.745,-0.092
-5.824,-0.173
-5.901,-0.253
-5.979,-0.333
-6.055,-0.411
-6.130,-0.489
-6.205,-0.566
-6.279,-0.643
-6.352,-0.718
-6.425,-0.793
-6.496,-0.867
-6.567,-0.941
-6.637,-1.013
-6.706,-1.085
-6.774,-1.155
-6.841,-1.225
-6.907,-1.294
-6.973,-1.362
-7.037,-1.429
-7.100,-1.495
-7.163,-1.560
-7.224,-1.624
-7.284,-1.687
-7.344,-1.749
-7.402,-1.810
-7.459,-1.870
-7.515,-1.929
-7.570,-1.987
-7.624,-2.044
-7.677,-2.100
-7.729,-2.154
-7.780,-2.208
-7.829,-2.260
-7.878,-2.311
-7.925,-2.361
-7.971,-2.410
-8.016,-2.458
-8.059,-2.505
-8.102,-2.550
-8.143,-2.594
-8.183,-2.637
-8.222,-2.679
-8.259,-2.719
-8.295,-2.758
-8.330,-2.796
-8.364,-2.833
-8.396,-2.869
-8.428,-2.903
-8.457,-2.936
-8.486,-2.967
-8.513,-2.997
-8.539,-3.026
-8.564,-3.054
-8.587,-3.080
-8.609,-3.105
-8.630,-3.129
-8.649,-3.152
-8.667,-3.173
-8.684,-3.192
-8.699,-3.210
-8.713,-3.227
-8.726,-3.243
-8.737,-3.257
-8.747,-3.270
-8.755,-3.282
-8.762,-3.292
-8.768,-3.301
-8.772,-3.308
-8.775,-3.314
-8.777,-3.319
-8.777,-3.322
-8.776,-3.324
-8.774,-3.324
-8.770,-3.323
-8.765,-3.321
-8.758,-3.317
-8.750,-3.312
-8.741,-3.306
-8.730,-3.298
-8.718,-3.289
-8.705,-3.279
-8.690,-3.267
-8.674,-3.253
-8.656,-3.239
-8.637,-3.223
-8.617,-3.206
-8.596,-3.187
-8.573,-3.167
-8.549,-3.145
-8.523,-3.123
-8.497,-3.099
-8.468,-3.073
-8.439,-3.047
-8.408,-3.019
-8.376,-2.989
-8.343,-2.959
-8.308,-2.927
-8.273,-2.894
-8.236,-2.859
-8.197,-2.824
-8.158,-2.787
-8.117,-2.748
-8.075,-2.709
-8.031,-2.668
-7.987,-2.626
-7.941,-2.583
-7.894,-2.539
-7.846,-2.493
-7.797,-2.446
-7.747,-2.398
-7.695,-2.349
-7.643,-2.299
-7.589,-2.248
-7.534,-2.195
-7.478,-2.142
-7.421,-2.087
-7.363,-2.031
-7.304,-1.974
-7.244,-1.916
-7.183,-1.857
-7.120,-1.797
-7.057,-1.736
-6.993,-1.674
-6.928,-1.611
-6.862,-1.547
-6.794,-1.481
-6.726,-1.415
-6.658,-1.348
-6.588,-1.281
-6.517,-1.212
-6.445,-1.142
-6.373,-1.072
-6.300,-1.000
-6.226,-0.928
-6.151,-0.855
-6.075,-0.781
-5.999,-0.706
-5.922,-0.631
-5.844,-0.554
-5.765,-0.477
-5.686,-0.400
-5.606,-0.321
-5.525,-0.242
-5.444,-0.162
-5.362,-0.082
-5.279,-0.001
-5.196,0.081
-5.113,0.163
-5.028,0.246
-4.944,0.329
-4.858,0.413
-4.773,0.498
-4.686,0.583
-4.600,0.668
-4.513,0.754
-4.425,0.840
-4.337,0.927
-4.249,1.014
-4.160,1.102
-4.072,1.190
-3.982,1.278
-3.893,1.367
-3.803,1.456
-3.713,1.545
-3.622,1.634
-3.532,1.724
-3.441,1.814
-3.350,1.904
-3.259,1.994
-3.168,2.085
-3.077,2.175
-2.986,2.266
-2.894,2.357
-2.803,2.448
-2.711,2.539
-2.620,2.629
-2.528,2.720
-2.437,2.811
-2.345,2.902
-2.254,2.993
-2.163,3.084
-2.072,3.175
-1.981,3.265
-1.890,3.356
-1.800,3.446
-1.709,3.536
-1.619,3.626
-1.529,3.716
-1.439,3.806
-1.350,3.895
-1.261,3.984
-1.172,4.073
-1.084,4.161
-0.996,4.249
-0.908,4.337
-0.821,4.424
-0.734,4.511
-0.648,4.598
-0.562,4.684
-0.476,4.769
-0.391,4.855
-0.307,4.939
-0.223,5.023
-0.140,5.107
-0.057,5.190
0.025,5.272
0.107,5.354
0.188,5.436
0.268,5.516
0.348,5.596
0.427,5.676
0.505,5.754
0.582,5.832
0.659,5.910
0.735,5.986
0.810,6.062
0.885,6.137
0.958,6.211
1.031,6.284
1.103,6.357
1.174,6.429
1.244,6.500
1.313,6.570
1.382,6.639
1.449,6.707
1.516,6.774
1.581,6.841
1.646,6.906
1.710,6.970
1.772,7.034
1.834,7.096
1.895,7.158
1.954,7.218
2.013,7.278
2.070,7.336
2.127,7.393
2.182,7.450
2.236,7.505
2.289,7.559
2.341,7.612
2.392,7.664
2.442,7.714
2.490,7.764
2.537,7.812
2.584,7.859
2.629,7.905
2.672,7.950
2.715,7.994
2.756,8.036
2.796,8.077
2.835,8.117
2.873,8.156
2.909,8.194
2.944,8.230
2.978,8.265
3.011,8.298
3.042,8.331
3.072,8.362
3.100,8.392
3.128,8.420
3.154,8.447
3.178,8.473
3.202,8.498
3.224,8.521
3.244,8.543
3.264,8.563
3.282,8.582
3.298,8.600
3.314,8.617
3.328,8.632
3.340,8.646
3.352,8.658
3.361,8.669
3.370,8.679
3.377,8.687
3.383,8.694
3.387,8.699
3.390,8.704
3.392,8.706
3.392,8.708
3.391,8.708
3.389,8.706
3.385,8.704
3.380,8.700
3.373,8.694
3.365,8.687
3.356,8.679
3.345,8.669
3.333,8.659
3.320,8.646
3.305,8.632
3.289,8.617
3.271,8.601
3.252,8.583
3.232,8.564
3.211,8.544
3.188,8.522
3.164,8.499
3.138,8.474
3.112,8.448
3.084,8.421
3.054,8.393
3.024,8.363
2.992,8.332
2.958,8.299
2.924,8.266
2.888,8.231
2.851,8.195
2.813,8.157
2.773,8.118
2.733,8.078
2.691,8.037
2.647,7.995
2.603,7.951
2.558,7.906
2.511,7.860
2.463,7.813
2.414,7.765
2.364,7.715
2.312,7.664
2.260,7.612
2.206,7.559
2.152,7.505
2.096,7.450
2.039,7.393
1.981,7.336
1.922,7.277
1.862,7.218
1.801,7.157
1.739,7.096
